Vetor,Longitude_l,Latitude_b,Magnitude_V_kms,Referencia
Fluxo_Bulk_GA,287.0,9.0,630,Courtois_et_al_2025_CF4++
Seu_Fit_Dipolar,125.5,-15.0,630,Cortez_2025_Pantheon+
